,Location,Name
263," Milwaukee, Wisconsin",Rockwell Automation Inc.
264," Pleasanton, California",Ross Stores Inc.
265," Houston, Texas",Rowan Cos.
266," Miami, Florida",Ryder System
267," McLean, Virginia",SAIC
268," Milpitas, California",SanDisk Corporation
269," Downers Grove, Illinois",Sara Lee Corp.
270," Cayce, South Carolina",SCANA Corp
271," Houston, Texas",Schlumberger Ltd.
272," Cincinnati, Ohio",Scripps Networks Interactive Inc.
273," Elmwood Park, New Jersey",Sealed Air Corp.
274," Indianapolis, Indiana",Simon Property Group Inc
275," Kenosha, Wisconsin",Snap-On Inc.
276," Atlanta, Georgia",Southern Co.
277," Houston, Texas",Southwestern Energy
278," Houston, Texas",Spectra Energy Corp.
279," Overland Park, Kansas",Sprint Nextel Corp.
280," Little Canada, Minnesota",St Jude Medical
281," New Britain, Connecticut",Stanley Black & Decker
282," Framingham, Massachusetts",Staples Inc.
283," Seattle, Washington",Starbucks Corp.
284," White Plains, New York",Starwood Hotels & Resorts
285," Lake Forest, Illinois",Stericycle Inc
286," Philadelphia, Pennsylvania",Sunoco Inc.
287," Eden Prairie, Minnesota",Supervalu Inc.
288," Mountain View, California",Symantec Corp.
289," Houston, Texas",Sysco Corp.
290," Baltimore, Maryland",T. Rowe Price Group
291," Minneapolis, Minnesota",Target Corp.
292," Tampa, Florida",TECO Energy
293," Naperville, Illinois",Tellabs Inc.
294," Dallas, Texas",Tenet Healthcare Corp.
295," Miamisburg, Ohio",Teradata Corp.
296," North Reading, Massachusetts",Teradyne Inc.
297," San Antonio, Texas",Tesoro Petroleum Co.
298," Providence, Rhode Island",Textron Inc.
299," New York, New York",The Bank of New York Mellon Corp.
300," St. Paul, Minnesota",The Travelers Companies Inc.
301," New York, New York",Time Warner Cable Inc.
302," New York, New York",Time Warner Inc.
303," Dallas, Texas",Titanium Metals Corp
304," Framingham, Massachusetts",TJX Companies Inc.
305," McKinney, Texas",Torchmark Corp.
306," Columbus, Georgia",Total System Services
307," Omaha, Nebraska",Union Pacific
308," Minnetonka, Minnesota",United Health Group Inc.
309," Pittsburgh, Pennsylvania",United States Steel Corp.
310," Hartford, Connecticut",United Technologies
311," Chattanooga, Tennessee",Unum Group
312," Greensboro, North Carolina",V.F. Corp.
313," Chicago, Illinois",Ventas Inc
314," Dulles, Virginia",Verisign Inc.
315," New York, New York",Viacom Inc.
316," San Francisco, California",Visa Inc.
317," Birmingham, Alabama",Vulcan Materials
318," Lake Forest, Illinois",W.W.Grainger Inc.
319," Bentonville, Arkansas",Wal-Mart Stores
320," Deerfield, Illinois",Walgreen Co.
321," Burbank, California",Walt Disney Co.
322, Washington D.C,Washington Post Co B
323," Houston, Texas",Waste Management Inc.
324," Indianapolis, Indiana",WellPoint Inc.
325," Englewood, Colorado",Western Union Co
326," Federal Way, Washington",Weyerhaeuser Corp.
327," Benton Charter Township, Michigan",Whirlpool Corp.
328," Tulsa, Oklahoma",Williams Cos.
329," Little Rock, Arkansas",Windstream Corporation
330," Las Vegas, Nevada",Wynn Resorts Ltd
331," Minneapolis, Minnesota",Xcel Energy Inc
332," Norwalk, Connecticut",Xerox Corp.
333," San Jose, California",Xilinx Inc
334," Hamilton, Bermuda",XL Capital
335," Sunnyvale, California",Yahoo Inc.
336," Louisville, Kentucky",Yum! Brands Inc
337," Salt Lake City, Utah",Zions Bancorp
